Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,27,38.0,69,3,2,450,406,64,408,548,374,5,7,1,2824,662,553,54.5
vs Aston Villa,31,38.0,83,1,0,604,488,39,432,499,406,5,3,2,3116,639,599,51.6
vs Brentford,29,38.0,50,3,0,443,435,71,504,581,323,5,5,2,3666,824,830,49.8
vs Brighton,26,38.0,80,0,0,463,449,42,444,654,383,3,7,2,3157,630,649,49.3
vs Burnley,23,38.0,44,0,0,405,460,53,557,455,306,3,2,2,3740,912,984,48.1
vs Chelsea,26,38.0,69,4,1,515,467,67,363,646,440,4,8,1,2818,547,623,46.8
vs Crystal Palace,24,38.0,74,3,2,579,481,52,420,580,487,2,8,0,3290,686,755,47.6
vs Everton,33,38.0,72,0,0,473,436,43,459,535,368,1,7,1,3515,866,711,54.9
vs Leeds United,29,38.0,74,3,3,463,567,53,368,670,416,4,5,0,3370,664,560,54.2
vs Leicester City,28,38.0,60,0,0,502,446,73,448,644,400,7,2,0,3274,611,625,49.4
vs Liverpool,27,38.0,63,3,0,417,410,144,309,735,413,0,7,0,3056,549,621,46.9
vs Manchester City,26,38.0,68,3,2,453,360,94,250,597,424,1,9,3,2402,433,530,45.0
vs Manchester Utd,29,38.0,48,1,0,425,465,72,420,691,418,3,5,1,3099,498,640,43.8
vs Newcastle Utd,29,38.0,75,3,0,461,484,58,468,429,413,5,3,3,3380,740,791,48.3
vs Norwich City,28,38.0,62,2,1,504,461,57,536,540,372,8,3,2,3366,669,585,53.3
vs Southampton,25,38.0,64,1,1,456,480,65,480,528,421,2,4,2,3571,902,756,54.4
vs Tottenham,25,38.0,83,6,4,519,464,43,512,610,421,0,4,6,3015,552,651,45.9
vs Watford,30,38.0,64,1,1,409,523,55,539,478,480,6,2,1,3661,843,809,51.0
vs West Ham,25,38.0,49,3,1,374,362,35,501,492,358,5,6,2,3213,709,689,50.7
vs Wolves,26,38.0,90,3,3,423,439,81,473,584,429,8,1,3,3201,568,543,51.1
